#inst,#attr,J48-cv,J48-test,J48-Boost-cv,J48-Boost-test,SVM-cv,SVM-test,kNN-cv,kNN-test
69,16,2.2222,4.1667,2.2222,4.1667,2.2222,4.1667,2.2222,4.1667
138,16,12.0879,2.1277,15.0549,8.5106,9.2308,2.1277,17.8022,10.6383
207,16,15.7664,20.0000,18.1752,15.7143,18.3212,14.2857,21.0219,22.8571
276,16,13.0055,11.8280,11.5301,19.3548,12.1311,13.9785,14.8087,18.2796
345,16,11.3537,11.2069,10.1310,11.2069,9.2576,13.7931,11.1354,10.3448
414,16,7.6364,12.2302,11.4545,19.4245,12.1818,10.7914,14.2909,18.7050
483,16,10.8100,8.6420,11.7445,9.8765,10.4050,10.4938,13.0218,12.9630
552,16,10.2452,9.1892,12.2888,8.6486,8.7738,9.7297,14.3052,12.4324
621,16,16.8765,15.3846,16.3680,15.3846,16.8765,14.4231,20.6295,17.3077
690,16,13.7255,17.3160,16.5142,13.8528,14.9673,15.5844,18.9978,20.7792
