Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"001000",SR,BoostedJ48,1000,62.4324,37.5676,0.6208,0.6243,0.6207,61.9760,38.0240,0.6319,0.6198,0.6135
"002000",SR,BoostedJ48,2000,60.7357,39.2643,0.6006,0.6074,0.6001,63.6228,36.3772,0.6363,0.6362,0.6327
"003000",SR,BoostedJ48,3000,59.5593,40.4407,0.5934,0.5956,0.5905,59.4217,40.5783,0.5938,0.5942,0.5908
"004000",SR,BoostedJ48,4000,59.3881,40.6119,0.5935,0.5939,0.5876,57.3353,42.6647,0.5754,0.5734,0.5683
"005000",SR,BoostedJ48,5000,58.4384,41.5616,0.5807,0.5844,0.5756,58.5629,41.4371,0.5801,0.5856,0.5739
"006000",SR,BoostedJ48,6000,58.9512,41.0488,0.5812,0.5895,0.5820,59.2020,40.7980,0.5916,0.5920,0.5878
"007000",SR,BoostedJ48,7000,57.7623,42.2377,0.5628,0.5776,0.5598,59.2988,40.7012,0.5780,0.5930,0.5695
"008000",SR,BoostedJ48,8000,59.4801,40.5199,0.5841,0.5948,0.5724,59.3189,40.6811,0.5745,0.5932,0.5714
"009000",SR,BoostedJ48,9000,58.6787,41.3213,0.5674,0.5868,0.5602,59.7804,40.2196,0.5803,0.5978,0.5676
"010000",SR,BoostedJ48,10000,60.5631,39.4369,0.5848,0.6056,0.5764,60.8383,39.1617,0.5930,0.6084,0.5775
