Dataset,Filter,Classifier,nInst,nAttr,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"002000",SR,J48-pc-0.10,2000,13,61.2913,38.7087,0.6088,0.6129,0.6048,63.9222,36.0778,0.6339,0.6392,0.6343
"002000",SR,J48-pc-0.15,2000,13,61.2988,38.7012,0.6079,0.6130,0.6054,64.3713,35.6287,0.6386,0.6437,0.6391
"002000",SR,J48-pc-0.20,2000,13,61.4414,38.5586,0.6088,0.6144,0.6075,62.8743,37.1257,0.6314,0.6287,0.6261
"002000",SR,J48-pc-0.25,2000,13,61.0736,38.9264,0.6039,0.6107,0.6037,63.6228,36.3772,0.6363,0.6362,0.6327
"002000",SR,J48-pc-0.30,2000,13,60.7808,39.2192,0.6009,0.6078,0.6010,63.4731,36.5269,0.6350,0.6347,0.6315
"002000",SR,J48-pc-0.35,2000,13,60.4279,39.5721,0.5979,0.6043,0.5975,63.1737,36.8263,0.6323,0.6317,0.6287
"002000",SR,J48-pc-0.40,2000,13,60.3679,39.6321,0.5977,0.6037,0.5968,63.4731,36.5269,0.6357,0.6347,0.6319
"002000",SR,J48-pc-0.45,2000,13,59.9850,40.0150,0.5939,0.5998,0.5933,63.4731,36.5269,0.6357,0.6347,0.6319
"002000",SR,J48-pc-0.50,2000,13,59.6246,40.3754,0.5902,0.5962,0.5898,63.3234,36.6766,0.6341,0.6332,0.6304
